"Onderwerp","Perioden","Totalen","Regio's"
"Bbp per inwoner in euro","2014","44818","Groningen (PV)"
"Bbp per inwoner in euro","2015","28179","Fryslân (PV)"
"Bbp per inwoner in euro","2015","28342","Drenthe (PV)"
"Bbp per inwoner in euro","2015","40733","Nederland"
"Bbp per inwoner in euro","2015","42749","Groningen (PV)"
"Bbp per inwoner in euro","2016","28388","Drenthe (PV)"
"Bbp per inwoner in euro","2016","28509","Fryslân (PV)"
"Bbp per inwoner in euro","2016","40195","Groningen (PV)"
"Bbp per inwoner in euro","2016","41593","Nederland"
"Bbp per inwoner in euro","2017","29318","Drenthe (PV)"
"Bbp per inwoner in euro","2017","29519","Fryslân (PV)"
"Bbp per inwoner in euro","2017","41210","Groningen (PV)"
"Bbp per inwoner in euro","2017","43088","Nederland"
"Bbp per inwoner in euro","2018","30817","Drenthe (PV)"
"Bbp per inwoner in euro","2018","30872","Fryslân (PV)"
"Bbp per inwoner in euro","2018","42088","Groningen (PV)"
"Bbp per inwoner in euro","2018","44917","Nederland"
"Bbp per inwoner in euro","2019*","31885","Drenthe (PV)"
"Bbp per inwoner in euro","2019*","32684","Fryslân (PV)"
"Bbp per inwoner in euro","2019*","42480","Groningen (PV)"
"Bbp per inwoner in euro","2019*","46876","Nederland"
"Bbp per inwoner in euro","2020*","31532","Drenthe (PV)"
"Bbp per inwoner in euro","2020*","32266","Fryslân (PV)"
"Bbp per inwoner in euro","2020*","39641","Groningen (PV)"
"Bbp per inwoner in euro","2020*","45874","Nederland"
"Bbp, volumemutaties in percentages","1996","3,5","Nederland"
"Bbp, volumemutaties in percentages","1996","3,6","Drenthe (PV)"
"Bbp, volumemutaties in percentages","1996","3,6","Fryslân (PV)"
"Bbp, volumemutaties in percentages","1996","6,7","Groningen (PV)"
"Bbp, volumemutaties in percentages","1997","1,2","Groningen (PV)"
"Bbp, volumemutaties in percentages","1997","2,1","Fryslân (PV)"
"Bbp, volumemutaties in percentages","1997","2,2","Drenthe (PV)"
"Bbp, volumemutaties in percentages","1997","4,3","Nederland"
"Bbp, volumemutaties in percentages","1998","0,6","Groningen (PV)"
"Bbp, volumemutaties in percentages","1998","3,5","Drenthe (PV)"
"Bbp, volumemutaties in percentages","1998","4,7","Nederland"
"Bbp, volumemutaties in percentages","1998","5,1","Fryslân (PV)"
"Bbp, volumemutaties in percentages","1999","2,4","Groningen (PV)"
"Bbp, volumemutaties in percentages","1999","3,2","Drenthe (PV)"
"Bbp, volumemutaties in percentages","1999","4,3","Fryslân (PV)"
"Bbp, volumemutaties in percentages","1999","5,0","Nederland"
"Bbp, volumemutaties in percentages","2000","1,7","Drenthe (PV)"
"Bbp, volumemutaties in percentages","2000","1,7","Groningen (PV)"
"Bbp, volumemutaties in percentages","2000","3,3","Fryslân (PV)"
"Bbp, volumemutaties in percentages","2000","4,2","Nederland"
"Bbp, volumemutaties in percentages","2001","2,2","Groningen (PV)"
"Bbp, volumemutaties in percentages","2001","2,3","Nederland"
"Bbp, volumemutaties in percentages","2001","3,1","Drenthe (PV)"
"Bbp, volumemutaties in percentages","2001","3,4","Fryslân (PV)"
"Bbp, volumemutaties in percentages","2002","-0,7","Fryslân (PV)"
"Bbp, volumemutaties in percentages","2002","0,2","Nederland"
"Bbp, volumemutaties in percentages","2002","0,9","Groningen (PV)"
"Bbp, volumemutaties in percentages","2002","1,3","Drenthe (PV)"
